Title,Category,Project Link,Proposer,Student Availability,CM COMP30030 Difficulty,CS COMP30040 Difficulty,PhD potential,Thoughts
A Blockchain Based Application,Student Own,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55080,Richard Banach,1 student,F,F,No,Not considered
A Quantum Computing Project,Student Own,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55079,Richard Banach,1 student,H,H,Yes,Not considered
Propose your own project in Logic/Automated Reasoning/Verification/Maths,Student Own,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55251,Konstantin Korovin,1 student,F,F,Yes,Not considered
Your idea for a mathematical project,Student Own,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55177,Andrea Schalk,2 students,C,C,No,Not considered
A Botnet Detector,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55119,Ning Zhang,2 students,F,F,No,Not considered
A Game of Spacetime,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55285,Bijan Parsia,4 students,F,F,No,Not considered
A hi-tech pantry,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55148,Gavin Brown,1 student,F,F,No,Not considered
A Multi-factor Authentication Simulator,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55118,Ning Zhang,2 students,F,F,No,Not considered
A Music Theory Tutor using Visualisation,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55056,Mary Mcgee Wood,3 students,F,F,No,Not considered
A Recipe for Perfect Recipes?,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55130,Kung-kiu Lau,2 students,F,F,No,Not considered
A Simulator for Teaching Ciphers,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55117,Ning Zhang,3 students,F,F,No,Not considered
A Software Tool to Illustrate Graph Colouring,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55367,Rizos Sakellariou,2 students,F,F,Yes,Not considered
A Virtual Turntable,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55259,Sean Bechhofer,3 students,F,F,No,Not considered
Agent Based Epidemiological Modelling of COVID-19,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55286,Bijan Parsia,8 students,F,F,Yes,Not considered
AI Study Companion,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55410,Christoforos Moutafis,4 students,C,C,Yes,Not considered
Analysing the Landscape of UK Computer Science research,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55149,Gavin Brown,2 students,F,F,No,Not considered
Analysing the System Call Invocation Behaviour of Applications,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55066,Pierre Olivier,1 student,H,H,Yes,Not considered
Architecture for on-chip communication in multi-tenant fog systems,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55394,Davide Bertozzi,1 student,H,H,Yes,Not considered
Auction Mechanisms for Local Energy Markets,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55318,Mustafa Mustafa,1 student,F,F,No,Not considered
Automatic Audio Processing for Podcasts and Videos,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55309,Terry Morley,2 students,F,F,Yes,Not considered
Cellular Automata for Simulations of Dynamic Systems,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55185,Uli Sattler,2 students,F,F,No,Not considered
Cheapest Public Transport to Work,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55172,Thomas Carroll,2 students,F,F,No,Not considered
Client-Server Backgammon variant player,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55368,Rizos Sakellariou,4 students,F,F,No,Not considered
Co-simulation of spiking neural networks with neuromorphic hardware,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55395,Davide Bertozzi,1 student,H,C,Yes,Not considered
Coding Their Future: Computer Science Education in secondary schools,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55300,Duncan Hull,8 students,H,H,No,Not considered
Describing Folk Dance,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55257,Sean Bechhofer,3 students,F,F,No,Not considered
Design Space Exploration of Per-Application Tailored Kernels,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55065,Pierre Olivier,1 student,H,H,Yes,Not considered
Develop a Context-Aware Access Control (CAAC) Decision Engine,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55113,Ning Zhang,2 students,C,C,No,Not considered
Development of an Application for Data Consumers in Digital Data Marketplaces,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55417,Sandra Sampaio,1 student,C,C,Yes,Not considered
Engaging History Tools,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55287,Bijan Parsia,6 students,F,F,No,Not considered
Enigma Machine Simulator,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55173,Thomas Carroll,2 students,F,F,No,Not considered
Evaluating task graph scheduling algorithms,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55369,Rizos Sakellariou,2 students,C,C,Yes,Not considered
Evaluating the accuracy of Movebase in a Nuclear Remote Inspection Scenario,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55107,Louise Dennis,1 student,F,F,No,Not considered
Everything Happens Somewhere,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55050,Mary Mcgee Wood,3 students,F,F,Yes,Not considered
Exercise Monitor,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55102,Tim Morris,1 student,F,F,No,Not considered
Game of Dots and Boxes (aka: Squares),General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55174,Thomas Carroll,2 students,F,F,No,Not considered
Good ol' linux ical for Windows,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55164,Richard Banach,1 student,F,F,No,Not considered
GPU-based simulations of magnetic racetrack memories,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55398,Christoforos Moutafis,1 student,H,H,Yes,Not considered
How many students will apply for this project?,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55110,Gavin Brown,1 student,C,C,No,Not considered
How reliable are hard disk (HDD) and solid state (SSD) drives?,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55073,Tom Thomson,1 student,C,C,No,Not considered
Interval Deep Evidential Classification for Medical and Inverse Problems,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55371,Caprio Michele,2 students,F,F,Yes,Not considered
Local Energy Markets with Grid Constraints,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55321,Mustafa Mustafa,1 student,F,F,Yes,Not considered
Local Energy Markets with User Preferences,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55317,Mustafa Mustafa,1 student,F,F,No,Not considered
Localisation App to Visualise Blood Glucose Levels for Type 1 Diabetics,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55195,Paul Nutter,1 student,F,F,No,Not considered
Logic and automated reasoning,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55183,Uli Sattler,4 students,F,F,Yes,Not considered
Make programs small again,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55191,Pavlos Petoumenos,1 student,H,C,Yes,Not considered
Managing Crowdsourced Points of Interest Information,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55064,Mary Mcgee Wood,3 students,F,F,No,Not considered
Modelling Polarization in Social Networks,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55125,Louise Dennis,2 students,F,F,Yes,Not considered
Modular Patch Storage/Library,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55261,Sean Bechhofer,1 student,F,F,No,Not considered
Modular Synthesis with VCV Rack,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55260,Sean Bechhofer,3 students,C,C,No,Not considered
My Little Operating System,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55266,Jim Garside,3 students,C,F,No,Not considered
My Mortgage Modeller,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55026,Gavin Brown,1 student,F,F,No,Not considered
N-Version Testing,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55289,Bijan Parsia,4 students,F,F,No,Not considered
Non-standard automated reasoning,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55184,Uli Sattler,4 students,F,F,Yes,Not considered
Panorama Creation,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55258,Sean Bechhofer,3 students,F,F,No,Not considered
Performance Estimation Across Instruction Set Architectures,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55067,Pierre Olivier,1 student,H,H,No,Not considered
Predicting a program's cache behaviour,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55190,Pavlos Petoumenos,1 student,F,F,Yes,Not considered
Privacy-cost trade-off in electricity load shifting (with LLMs),General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55319,Mustafa Mustafa,2 students,F,F,Yes,Not considered
Revolutionising Academic Scheduling with Advanced Timetabling Solutions,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55046,Gareth Henshall,2 students,F,F,No,Not considered
Room occupancy viewing and booking system,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55210,Paul Nutter,1 student,F,F,No,Not considered
"Simple assistive software: design, development, and evaluation",General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55057,Mary Mcgee Wood,3 students,C,M,Yes,Not considered
"Simple assistive software: design, development, and evaluation",General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55057,Mary Mcgee Wood,3 students,C,M,Yes,Not considered
Simulating string playing to make physical modelling synthesis more realistic,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55232,Joseph Razavi,1 student,F,F,No,Not considered
Social Network Analysis and Metrics,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55370,Rizos Sakellariou,2 students,C,C,Yes,Not considered
Software Analysis and Large Language Models,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55315,Youcheng Sun,1 student,F,H,Yes,Not considered
Statically predict the runtime behaviour of parts of a program,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55189,Pavlos Petoumenos,2 students,H,H,Yes,Not considered
Strategic Scheduling Solutions: Elevating the Six Nations Rugby Experience,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55043,Gareth Henshall,2 students,F,F,No,Not considered
Synaesthetic Computing,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55128,Kung-kiu Lau,3 students,F,F,No,Not considered
Teaching Software Engineering,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55290,Bijan Parsia,8 students,F,F,No,Not considered
Type 1 Diabetes Food Management System,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55198,Paul Nutter,1 student,F,F,No,Not considered
Validating semantic artefact profiles for Research Object Crates,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55352,Stian Soiland-reyes,2 students,F,F,Yes,Not considered
Verification of Deep Neural Networks,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55053,Lucas Cordeiro,2 students,F,F,No,Not considered
Verifying Python Programs in Robotic Applications,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55055,Lucas Cordeiro,2 students,F,F,No,Not considered
Visualising Infinity,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55129,Kung-kiu Lau,2 students,F,F,No,Not considered
Will it merge?,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55188,Pavlos Petoumenos,1 student,C,C,Yes,Not considered
3D Hand tracking from monocular RGB,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55421,Aphrodite Galata,3 students,C,C,Yes,Not considered
Activity Monitor,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55101,Tim Morris,1 student,F,F,No,Not considered
Animation of avatars using human motion capture data,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55424,Aphrodite Galata,2 students,C,C,No,Not considered
Camera viewpoint,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55106,Tim Morris,1 student,H,C,No,Not considered
Chess Tutor,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55304,Terry Morley,2 students,F,F,Yes,Not considered
Climbing Animation Simulator,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55252,David Petrescu,2 students,F,F,No,Not considered
Computer Vision aids for the confused,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55105,Tim Morris,1 student,F,F,No,Not considered
GymBuddy: Computer Vision based Fitness Assistant,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55425,Aphrodite Galata,2 students,C,C,Yes,Not considered
Implementing a Graphical User Interface for Network Simulator 3,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55031,Stewart Blakeway,4 students,H,M,No,Not considered
Night-time image processing,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55104,Tim Morris,1 student,H,C,No,Not considered
Non-realtime rendering of a 3D scene as pixel art,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55235,Joseph Razavi,1 student,F,F,No,Not considered
Photo Collage,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55426,Aphrodite Galata,1 student,C,C,No,Not considered
Recognising Street Furniture,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55099,Tim Morris,1 student,F,F,No,Not considered
Sensitivity to complex geometry simplifications using Nanite.,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55202,David Petrescu,2 students,C,C,Yes,Not considered
Super Resolution,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55103,Tim Morris,1 student,F,F,No,Not considered
Tracking football players,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55420,Aphrodite Galata,2 students,C,C,No,Not considered
Video Synthesis,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55428,Aphrodite Galata,1 student,C,C,No,Not considered
Virtual Reality Models,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55100,Tim Morris,2 students,F,F,No,Not considered
Virtual tourist,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55109,Tim Morris,1 student,F,F,No,Not considered
What can I see?,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55098,Tim Morris,1 student,C,F,No,Not considered
Which way is up - extracting information from magnetic images,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55047,Tom Thomson,2 students,C,H,Yes,Not considered
A Blockchain-based Application,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55114,Ning Zhang,2 students,C,C,No,Not considered
A Cross-domain Auditing Service,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55116,Ning Zhang,2 students,C,M,No,Not considered
A RBAC (Role Based Access Control) Simulator,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55111,Ning Zhang,3 students,F,F,No,Not considered
